Burst,T_90S,T_90,T_50S,T_50,Phase,4ms Peak Flux,Fluence
090202513a,18:58.1,360 +or- 23,18:58.2,124 +or- 6,0.6994,3.11E-06 +or- 5.63E-07,4.18E-07 +or- 1.71E-08
090202862a,40:35.8,396 +or- 13,40:35.8,180 +or- 14,0.6276,3.65E-06 +or- 5.30E-07,3.27E-07 +or- 1.36E-08
090202862b^a,44:10.9,140 +or- 13,44:10.9,36 +or- 6,0.444,9.80E-06 +or- 6.80E-07,4.51E-07 +or- 1.00E-08
090203198a,44:51.1,68 +or- 38,44:51.2,20 +or- 6,0.5534,7.00E-06 +or- 1.16E-06,1.67E-07 +or- 1.50E-08
090203206a,57:15.4,72 +or- 41,57:15.4,24 +or- 25,0.7532,3.30E-06 +or- 9.24E-07,1.16E-07 +or- 1.53E-08
090203389a,19:53.4,44 +or- 9,19:53.4,16 +or- 9,0.0145,2.41E-05 +or- 1.28E-06,4.68E-07 +or- 1.29E-08
090203805a,18:47.3,48 +or- 29,18:47.3,24 +or- 11,0.6998,1.78E-06 +or- 3.65E-07,5.36E-08 +or- 6.72E-09
090203834a^f,00:39.5,124 +or- 6,00:39.5,36 +or- 6,0.1867,1.70E-04 +or- 5.62E-06,6.97E-06 +or- 6.35E-08
090204003a,04:23.7,96 +or- 40,04:23.8,24 +or- 11,0.2751,3.91E-06 +or- 6.57E-07,5.76E-08 +or- 5.72E-09
090204852a^b,27:20.8,72 +or- 6,27:20.8,36 +or- 6,,,
090206897a,32:18.8,44 +or- 9,32:18.8,24 +or- 6,0.4412,8.74E-06 +or- 1.13E-06,1.52E-07 +or- 1.12E-08
090207834a,01:20.0,32 +or- 13,01:20.0,12 +or- 9,0.8989,1.70E-05 +or- 1.55E-06,2.17E-07 +or- 1.30E-08
090208340a,09:51.9,40 +or- 18,09:51.9,24 +or- 11,0.4584,5.50E-06 +or- 6.39E-07,8.12E-08 +or- 6.24E-09
090208463a,06:07.8,72 +or- 13,06:07.8,12 +or- 6,0.3319,1.34E-05 +or- 1.08E-06,1.84E-07 +or- 1.02E-08
090208682a,21:45.8,120 +or- 13,21:45.8,56 +or- 9,0.6437,5.88E-06 +or- 6.29E-07,1.32E-07 +or- 9.22E-09
090209271a,29:56.9,96 +or- 66,29:56.9,64 +or- 23,0.0721,1.55E-06 +or- 3.77E-07,6.61E-08 +or- 7.73E-09
090210310a,26:04.4,76 +or- 6,26:04.4,20 +or- 6,0.3101,1.76E-05 +or- 9.25E-07,2.42E-07 +or- 7.99E-09
090210415a,58:17.4,56 +or- 11,58:17.4,20 +or- 6,0.1511,7.25E-06 +or- 6.32E-07,2.21E-07 +or- 7.78E-09
090210898a,33:42.9,76 +or- 11,33:42.9,20 +or- 6,0.9719,2.17E-05 +or- 1.92E-06,4.04E-07 +or- 1.73E-08
090210941a,34:25.9,92 +or- 11,34:25.9,24 +or- 6,0.1873,1.18E-05 +or- 8.91E-07,4.14E-07 +or- 1.32E-08
090211264a,20:00.9,496 +or- 29,20:00.9,320 +or- 23,0.4932,3.03E-06 +or- 5.69E-07,2.72E-07 +or- 1.65E-08
090211279a^f,41:38.9,36 +or- 6,41:38.9,16 +or- 6,0.8067,6.55E-05 +or- 3.83E-06,1.21E-06 +or- 3.18E-08
090211290a,56:58.9,168 +or- 29,56:58.9,84 +or- 11,0.8268,4.18E-06 +or- 7.75E-07,2.55E-07 +or- 1.59E-08
090212968a,14:03.1,40 +or- 9,14:03.1,12 +or- 9,0.3348,3.87E-06 +or- 4.84E-07,4.03E-08 +or- 4.90E-09
090214814a^b,31:45.3,64 +or- 6,31:45.3,20 +or- 6,,,
090217261a,16:30.5,40 +or- 6,16:30.5,12 +or- 6,0.9705,2.15E-05 +or- 1.55E-06,3.26E-07 +or- 1.40E-08
090218278a,40:11.3,96 +or- 13,40:11.4,28 +or- 6,0.5101,8.45E-06 +or- 7.96E-07,2.60E-07 +or- 1.05E-08
090218491a,46:58.9,52 +or- 6,46:58.9,24 +or- 9,0.404,2.77E-05 +or- 1.85E-06,6.54E-07 +or- 1.93E-08
090221644a^b,27:34.4,116 +or- 6,27:34.4,68 +or- 9,,,
090221803a,16:59.5,80 +or- 14,16:59.5,28 +or- 9,0.6461,8.40E-06 +or- 8.63E-07,2.25E-07 +or- 1.12E-08
090222540a,57:06.2,112 +or- 68,57:06.3,64 +or- 36,0.7467,1.65E-06 +or- 4.46E-07,7.43E-08 +or- 8.64E-09
090222906a^b,44:49.9,36 +or- 9,44:49.9,16 +or- 6,,,
090223128a^b,04:40.8,124 +or- 6,04:40.8,76 +or- 6,,,
090224694a,38:44.1,408 +or- 30,38:44.1,304 +or- 11,0.8687,3.17E-06 +or- 9.83E-07,1.83E-07 +or- 2.34E-08
